ID,Gallery,Subject,Fixture,X_m,Y_m,Z_m,Width_m,Height_m,Depth_m,Model_path,Brief
D01,dinosaurs,Mamenchisaurus,split,-24,0.3,-16,7,8.5,28,models/D01.glb,"A long, largely horizontal sauropod mount. Two separated support islands leave a 7 m cross-passage through the reserved bay. Keep the passage clear above 2.8 m; validate the final neck, tail and supports before installation."
D02,dinosaurs,Tarbosaurus,plinth,-11,0.3,-16,5,5.8,11,models/D02.glb,"A tall theropod mount, read from the connecting walk and the north overlook. Orient the long axis along Z. Reserve the full tail sweep inside the envelope."
D03,dinosaurs,Armoured dinosaur,plinth,-12,0.3,-30,5.6,3.5,5,models/D03.glb,"Armour, tail mechanics and defensive body plans. No moving parts are supplied; use a separate animation clip later."
D04,dinosaurs,Protoceratops,plinth,-28,0.3,4,3.2,2.5,3.2,models/D04.glb,A family-scale mount with a lower reading rail. Its envelope intentionally leaves the dinosaur entrance unobstructed.
D05,dinosaurs,Trackway casting,table,-8,0.88,4,3,0.3,2,models/D05.glb,"A shallow, accessible examination surface for a trackway cast. The display table is already built; add only the geological exhibit."
D06,dinosaurs,Comparative teeth,wall,-37.08,1.4,-12,0.45,1.1,2.6,models/D06.glb,A side-facing cabinet above the ramp. Compare feeding adaptations using original tooth models. Keep all geometry inside the shallow case.
D07,dinosaurs,Australian megafauna,plinth,-28,0.3,-32.5,4,3.6,4,models/D07.glb,Reserve for a Diprotodon or another Australian megafaunal subject. Label its different time period explicitly; do not call every prehistoric animal a dinosaur.
D08,dinosaurs,Pterosaur,suspended,-18,7,-5,7,2.8,4,models/D08.glb,"Suspended pterosaur allowance. It is not a dinosaur. Model rigging separately, check supports against roof ribs, and keep the entire envelope above visitor head height."
D09,dinosaurs,Fossil comparison,table,-16,3.28,-39.5,4,0.45,1.25,models/D09.glb,An overlook-level comparison table. The shell includes the table and guardrails; add fossil specimens only.
B01,diversity,Butterfly diversity,wall,6.2,1.25,8.35,3,1.8,0.38,models/B01.glb,"Pinned-specimen composition in a shallow wall cabinet. Use separate small models, or an original baked specimen atlas for distant views. No specimen artwork is supplied."
B02,diversity,Beetle diversity,wall,17,1.25,8.35,5.4,1.8,0.38,models/B02.glb,A second framed collection wall with warm conservation-style presentation. Design allowances are not real conservation specifications.
B03,diversity,Insect Hall of Fame theme,case,12.5,0.88,-0.5,3,1.65,2,models/B03.glb,An island vitrine for insect superlatives. Confirm any eventual largest/heaviest/longest claim with a species-specific source before adding final labels.
B04,diversity,Insect classification,table,7.1,0.88,-4.6,3,0.4,1.25,models/B04.glb,Low comparison table for body plan models. Deliberately separate insect classification from the eight-legged gallery next door.
B05,habitats,Green tree ant colony,habitat,28.5,0.65,-0.5,3.5,2.4,3,models/B05.glb,"Empty habitat enclosure. You will supply nest, branches, substrate, ant meshes and animation. This is not a live-animal husbandry design."
B06,habitats,Mantid habitat,habitat,36.6,0.7,3.5,1.35,1.8,2.6,models/B06.glb,"Wall-side enclosure reserved for mantid, branches and foliage. No placeholder insects or greenery are included."
B07,habitats,Aquatic invertebrates,habitat,36.6,0.7,-3.5,1.35,1.8,2.6,models/B07.glb,"An aquarium-format shell with a dry, empty interior. Add water and invertebrates later; avoid nested transmissive surfaces in the final GLB."
B08,habitats,Decomposer habitat,habitat,24.5,0.7,7.5,3,1.8,1.25,models/B08.glb,An empty ecological exhibit for leaf litter and decomposer invertebrates. Habitat dressing remains part of your Blender stage.
B09,anatomy,Insect body systems,plinth,12.6,0.3,-16,4,2.9,4,models/B09.glb,A deliberately enlarged anatomical model. Display its scale multiplier on the future label so visitors do not confuse model size with animal size.
B10,anatomy,Insect mouthparts,case,18.5,0.88,-19.3,2.8,1.1,1.6,models/B10.glb,"Enlarged comparative mouthparts inside an island vitrine. Include chewing, piercing or other forms only after choosing referenced species."
B11,anatomy,Life cycles,wall,12.8,1.25,-22.4,5.8,1.8,0.38,models/B11.glb,A chronological specimen sequence. The cabinet and typography frame are present; model the lifecycle stages in Blender.
B12,anatomy,Pollination,table,7,0.88,-19.5,2.7,0.7,1.5,models/B12.glb,A teaching-table allowance for insect–flower relationships. Flowers and insects are both intentionally omitted.
B13,arachnids,Arachnid comparison,case,28.8,0.88,-15.3,3,1.35,2,models/B13.glb,A comparison vitrine introducing arachnids. Use accurate leg counts and label specimens independently from insects.
